2020-11-19 22:16:55.3933|DEBUG|Adventure.Level|2,2
2020-11-19 22:17:02.4954|DEBUG|Adventure.Level|2,1
2020-11-19 22:17:05.6675|DEBUG|Adventure.Level|2,0
2020-11-19 22:17:08.7475|DEBUG|Adventure.Level|2,-1
2020-11-19 22:17:58.0781|DEBUG|Adventure.Level|2,2
2020-11-19 22:17:59.2516|DEBUG|Adventure.Level|2,1
2020-11-19 22:17:59.8036|DEBUG|Adventure.Level|2,0
2020-11-19 22:18:02.5993|DEBUG|Adventure.Level|2,1
2020-11-19 22:18:04.1395|DEBUG|Adventure.Level|2,2
2020-11-19 22:18:04.7411|DEBUG|Adventure.Level|2,3
2020-11-19 22:18:05.4736|DEBUG|Adventure.Level|2,4
2020-11-20 13:01:59.7554|DEBUG|Adventure.Level|0,-1
2020-11-20 13:02:01.4069|DEBUG|Adventure.Level|0,-1
2020-11-20 13:02:03.8352|DEBUG|Adventure.Level|0,1
2020-11-20 13:02:04.2132|DEBUG|Adventure.Level|0,1
2020-11-20 13:02:05.2310|DEBUG|Adventure.Level|0,-1
2020-11-20 13:02:06.7262|DEBUG|Adventure.Level|0,1
2020-11-20 13:02:07.7513|DEBUG|Adventure.Level|0,-1
2020-11-20 13:02:08.3798|DEBUG|Adventure.Level|0,-1
2020-11-20 13:02:10.6917|DEBUG|Adventure.Level|0,1
2020-11-20 13:02:11.3722|DEBUG|Adventure.Level|0,1
2020-11-20 13:02:29.5610|DEBUG|Adventure.Level|0,1
